Timestamp (UTC),Transaction Type,Outgoing Asset,Outgoing Amount,Incoming Asset,Incoming Amount,Fee Asset,Fee Amount,Transaction ID,Note
2026-04-17T21:54:32Z,Buy,USDC,12.3399,PM-Under-0xeda79f,17.8839,,,pm-1,Boyacá Chicó FC vs. AD Cali: O/U 1.5 | Sonstiges | EUR/USD 0.9200
2026-04-17T21:57:41Z,Buy,USDC,25,PM-Yes-0x924a29,73.5294,,,pm-2,Strait of Hormuz traffic returns to normal by end of April? | Sonstiges | EUR/USD 0.9200
2026-04-17T21:58:12Z,Buy,USDC,25,PM-No-0x059f77,58.1395,,,pm-3,Will CA Unión win on 2026-04-17? | Sonstiges | EUR/USD 0.9200
2026-04-17T22:00:42Z,Buy,USDC,6.0798,PM-No-0x658795,9.0744,,,pm-4,Will AD Cali win on 2026-04-17? | Sonstiges | EUR/USD 0.9200
2026-04-17T22:07:01Z,Buy,USDC,21.4375,PM-Yes-0x807ba5,51.7814,,,pm-5,Will Trump agree to Iranian enrichment of uranium in April? | Geopolitik | EUR/USD 0.9200
2026-04-17T22:09:42Z,Buy,USDC,5.5774,PM-Under-0xf2e5f0,22.3098,,,pm-6,Jaguares de Córdoba FC vs. AD Pasto: O/U 3.5 | Sonstiges | EUR/USD 0.9200
2026-04-17T22:10:31Z,Buy,USDC,14.459,PM-Jack_Kennedy-0x89683d,32.1312,,,pm-7,Tallahassee: Daniil Glinka vs Jack Kennedy | Sport | EUR/USD 0.9200
2026-04-17T22:11:32Z,Buy,USDC,6.12,PM-Daniil_Glinka-0x89683d,12,,,pm-8,Tallahassee: Daniil Glinka vs Jack Kennedy | Sport | EUR/USD 0.9200
2026-04-17T22:15:32Z,Buy,USDC,12.852,PM-Under-0xeda79f,37.8,,,pm-9,Boyacá Chicó FC vs. AD Cali: O/U 1.5 | Sonstiges | EUR/USD 0.9200
2026-04-17T22:19:31Z,Buy,USDC,25,PM-Yes-0x807ba5,60.3865,,,pm-10,Will Trump agree to Iranian enrichment of uranium in April? | Geopolitik | EUR/USD 0.9200
2026-04-17T22:19:52Z,Buy,USDC,6.8871,PM-No-0x7e7c36,9.3069,,,pm-11,Will AD Pasto win on 2026-04-17? | Sonstiges | EUR/USD 0.9200
